DEGREE,N,METHODS
1,4,BFGS
1,8,BFGS
1,12,BFGS
1,16,BFGS
1,20,BFGS
1,24,BFGS
2,2,BFGS
2,4,BFGS
2,6,BFGS
2,8,BFGS
2,10,BFGS
2,12,BFGS
1,4,BFGS-inexact
1,8,BFGS-inexact
1,12,BFGS-inexact
1,16,BFGS-inexact
1,20,BFGS-inexact
1,24,BFGS-inexact
2,2,BFGS-inexact
2,4,BFGS-inexact
2,6,BFGS-inexact
2,8,BFGS-inexact
2,10,BFGS-inexact
2,12,BFGS-inexact
1,4,Newton
1,8,Newton
1,12,Newton
1,16,Newton
1,20,Newton
1,24,Newton
2,2,Newton
2,4,Newton
2,6,Newton
2,8,Newton
2,10,Newton
2,12,Newton
1,4,Newton-inexact
1,8,Newton-inexact
1,12,Newton-inexact
1,16,Newton-inexact
1,20,Newton-inexact
1,24,Newton-inexact
2,2,Newton-inexact
2,4,Newton-inexact
2,6,Newton-inexact
2,8,Newton-inexact
2,10,Newton-inexact
2,12,Newton-inexact
