ID,DEGREE,STRESS,METHOD
1_1000_Newton,1,1.00E+03,Newton
1_5000_Newton,1,5.00E+03,Newton
1_10000_Newton,1,1.00E+04,Newton
1_50000_Newton,1,5.00E+04,Newton
2_1000_Newton,2,1.00E+03,Newton
2_5000_Newton,2,5.00E+03,Newton
2_10000_Newton,2,1.00E+04,Newton
2_50000_Newton,2,5.00E+04,Newton
1_1000_BFGS,1,1.00E+03,BFGS
1_5000_BFGS,1,5.00E+03,BFGS
1_10000_BFGS,1,1.00E+04,BFGS
1_50000_BFGS,1,5.00E+04,BFGS
2_1000_BFGS,2,1.00E+03,BFGS
2_5000_BFGS,2,5.00E+03,BFGS
2_10000_BFGS,2,1.00E+04,BFGS
2_50000_BFGS,2,5.00E+04,BFGS
